source_id,source_type,category,priority,technical_details,suggested_title
R001,review,Bug,Critical,"Crashes on opening calendar view after update","Crash on Opening Calendar View"
R002,review,Praise,Low,,"Positive Review of New Widget Feature"
R003,review,Bug,High,"Login failure, authentication error","Login Authentication Failure"
R004,review,Feature Request,Medium,,"Request for Dark Mode"
R005,review,Complaint,Medium,,"Slow sync between devices"
R006,review,Complaint,Medium,,"Too many ads affecting usability","Too Many Ads Complaint"
R007,review,Praise,Low,,"Positive Feedback"
R008,review,Bug,High,"Freeze during PDF export","PDF Export Freeze"
R009,review,Praise,Low,,"High Satisfaction Review"
R010,review,Spam,Low,,"Spam link detected","Spam Review"

E001,email,Bug,High,"Crash during report export; Device: Pixel 6; Android 14","Crash When Exporting Report"
E002,email,Feature Request,Medium,,"Request for Multiple Custom Reminders"
E003,email,Bug,High,"Login error: Token expired; Device: iPhone 14; iOS 18.1","Login Failure Issue"
E004,email,Complaint,Low,,"Performance/Speed Issues","App Feels Slow"
E005,email,Bug,Critical,"Data loss after sync","Data Loss After Sync"
E006,email,Feature Request,Medium,,"Request for Dark Mode","Dark Mode Suggestion"
E007,email,Spam,Low,,"Bank details phishing","Spam Email"
